symbol,company_name
POLICYBZR,PB Fintech Limited
PIIND,PI Industries Limited
PAGEIND,Page Industries Limited
PATANJALI,Patanjali Foods Limited
PERSISTENT,Persistent Systems Limited
PETRONET,Petronet LNG Limited
PHOENIXLTD,The Phoenix Mills Limited
POLYCAB,Polycab India Limited
PREMIERENE,PREMIER ENERGIES LIMITED
PRESTIGE,Prestige Estates Projects Limited
RADICO,Radico Khaitan Limited
RVNL,Rail Vikas Nigam Limited
SBICARD,SBI Cards and Payment Services Limited
SJVN,SJVN Limited
SRF,SRF Limited
SCHAEFFLER,Schaeffler India Limited
SAIL,Steel Authority of India Limited
SUNDARMFIN,Sundaram Finance Limited
SUPREMEIND,The Supreme Industries Limited
SUZLON,Suzlon Energy Limited
SWIGGY,SWIGGY LIMITED
TATACOMM,Tata Communications Limited
TATAELXSI,Tata Elxsi Limited
TATAINVEST,Tata Investment Corporation Limited
NIACL,The New India Assurance Company Limited
THERMAX,Thermax Limited
TORNTPOWER,Torrent Power Limited
TIINDIA,Tube Investments of India Limited
UNOMINDA,Uno Minda Limited
UPL,UPL Limited
UBL,United Breweries Limited
VMM,VISHAL MEGA MART LIMITED
IDEA,Vodafone Idea Limited
VOLTAS,Voltas Limited
WAAREEENER,WAAREE ENERGIES LIMITED
YESBANK,Yes Bank Limited
